"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C100,C103,C106,C108,C114,C115,C116,C200","8","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C101,C102,C105,C110,C112,C113,C117,C202,C204,C205,C301,C304,C306,C307,C308,C309,C311,C314,C316,C317,C318,C319,C400,C401","24","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C104,C107,C201,C203","4","10p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C109,C111","2","2u2","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C118,C119,C206","3","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C207","1","470p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C208","1","220n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C300,C302,C303,C305,C310,C312,C313,C315","8","10n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D100,D101,D102,D103,D105,D300,D301,D302,D303","9","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"D104","1","MM3Z10VT1G","","","","Library:SOD-323","https://www.vishay.com/docs/85764/bzx384.pdf"
"F100","1","300mA","","","","Library:Lute_16XR","~"
"F101","1","500mA","","","","Library:Lute_16XR","~"
"FB100","1","FerriteBead","","","","Library:LSMGA160808T601RG","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J100","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J101","1","Screw_Terminal_01x02","","","","Library:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~"
"J102","1","USB_C_Receptacle_USB2.0_16P","","","","Library:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J200","1","RJ45_Hanrun_HR911105A_Horizontal","","","","Library:RJ45_Hanrun_HR911105A_Horizontal","https://datasheet.lcsc.com/lcsc/1811141815_HANRUN-Zhongshan-HanRun-Elec-HR911105A_C12074.pdf"
"J300,J301,J302,J303","4","PCC-SMP-K-5","","","","Omega:PCCSMPK5","https://br.omega.com/omegaFiles/temperature/pdf/PCC-OST-SMP.pdf"
"J400","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP100,JP200,JP201","3","Jumper_2_Bridged","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q100","1","Si2371EDS","","","","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/63924/si2371eds.pdf"
"R100,R101,R102,R103,R104,R107,R202,R203,R209,R210,R300,R301,R302,R303,R304,R305,R306,R307","18","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R105,R106","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R200","1","1.5k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R201","1","33R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R204,R206,R207,R208","4","47R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R205","1","12k1","","","","Resistor_SMD:R_0402_1005Metric","~"
"R400","1","120R","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW100","1","SKRPANE010","","","","lcsc_footprints:SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6-2","https://item.szlcsc.com/404089.html"
"TP100,TP101,TP102,TP103,TP104,TP105,TP300,TP301,TP302,TP303,TP304,TP305,TP306,TP307,TP308,TP309,TP310,TP311","18","TestPoint_Small","","Excluded from BOM","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U100","1","STM32H563RITx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h563ri.pdf"
"U101","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U102","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U200","1","LAN8742A","","","","Library:VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias","http://ww1.microchip.com/downloads/en/DeviceDoc/8742a.pdf"
"U300,U301,U302,U303","4","MAX31856","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://datasheets.maximintegrated.com/en/ds/MAX31856.pdf"
"U400","1","TJA1042T-3","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.nxp.com/docs/en/data-sheet/TJA1042.pdf"
"Y100","1","16MHz","","","","Library:CRYSTAL-SMD_4P-L2.0-W1.6-BL","~"
"Y200","1","25MHz","","","","Library:CRYSTAL-SMD_4P-L2.0-W1.6-BL","~"
